PC_TIME_STAMP,REF_TIME,A1_Y_HEX,A1_Y
02:48:24:428,0.000,0xFFF9,-7
02:48:24:428,0.010,0xFFFB,-5
02:48:24:428,0.020,0xFFFE,-2
02:48:24:428,0.030,0xFFFA,-6
02:48:24:428,0.040,0xFFFA,-6
02:48:24:428,0.050,0xFFFB,-5
02:48:24:428,0.060,0xFFFA,-6
02:48:24:428,0.070,0x0001,1
02:48:24:428,0.080,0xFFFC,-4
02:48:24:428,0.090,0xFFFF,-1
02:48:24:428,0.100,0xFFFC,-4
02:48:24:428,0.110,0xFFFF,-1
02:48:24:428,0.120,0xFFF9,-7
02:48:24:428,0.130,0xFFFB,-5
02:48:24:428,0.140,0x0000,0
02:48:24:428,0.150,0xFFFB,-5
02:48:24:428,0.160,0x0002,2
02:48:24:428,0.170,0x0002,2
02:48:24:428,0.180,0xFFFA,-6
02:48:24:428,0.190,0xFFF7,-9
02:48:24:428,0.200,0xFFFB,-5
02:48:24:428,0.210,0x0000,0
02:48:24:428,0.220,0xFFFB,-5
02:48:24:428,0.230,0xFFFC,-4
02:48:24:428,0.240,0x0002,2
02:48:24:428,0.250,0xFFF8,-8
02:48:24:428,0.260,0xFFFF,-1
02:48:24:428,0.270,0xFFF6,-10
02:48:24:428,0.280,0x0002,2
02:48:24:428,0.290,0xFFFD,-3
02:48:24:428,0.300,0x0001,1
02:48:24:428,0.310,0xFFF8,-8
02:48:24:428,0.320,0x0002,2
02:48:24:428,0.330,0xFFF9,-7
02:48:24:428,0.340,0xFFF9,-7
02:48:24:428,0.350,0x0001,1
02:48:24:428,0.360,0xFFFE,-2
02:48:24:428,0.370,0xFFFA,-6
02:48:24:428,0.380,0xFFFC,-4
02:48:24:428,0.390,0xFFFF,-1
02:48:24:428,0.400,0xFFFB,-5
02:48:24:428,0.410,0xFFFF,-1
02:48:24:428,0.420,0xFFFB,-5
02:48:24:428,0.430,0x0000,0
02:48:24:428,0.440,0xFFFD,-3
02:48:24:428,0.450,0xFFFB,-5
02:48:24:428,0.460,0xFFFC,-4
02:48:24:428,0.470,0xFFFE,-2
02:48:24:428,0.480,0xFFFA,-6
02:48:24:428,0.490,0x0005,5
02:48:24:428,0.500,0x0002,2
02:48:24:428,0.510,0xFFF9,-7
02:48:24:428,0.520,0xFFFD,-3
02:48:24:428,0.530,0xFFFE,-2
02:48:24:428,0.540,0xFFFA,-6
02:48:24:428,0.550,0xFFFF,-1
02:48:24:428,0.560,0xFFFE,-2
02:48:24:428,0.570,0xFFFD,-3
02:48:24:428,0.580,0x0002,2
02:48:24:428,0.590,0xFFF8,-8
02:48:24:428,0.600,0xFFFC,-4
02:48:24:428,0.610,0x0001,1
02:48:24:428,0.620,0xFFFE,-2
02:48:24:428,0.630,0xFFFE,-2
02:48:24:428,0.640,0xFFFE,-2
02:48:24:428,0.650,0xFFF9,-7
02:48:24:428,0.660,0x0001,1
02:48:24:428,0.670,0xFFF9,-7
02:48:24:428,0.680,0x0002,2
02:48:24:428,0.690,0x0005,5
02:48:24:428,0.700,0xFFFE,-2
02:48:24:428,0.710,0xFFFE,-2
02:48:24:428,0.720,0xFFFD,-3
02:48:24:428,0.730,0xFFFC,-4
02:48:24:428,0.740,0xFFFB,-5
02:48:24:428,0.750,0x0000,0
02:48:24:428,0.760,0xFFFF,-1
02:48:24:428,0.770,0xFFFC,-4
02:48:24:428,0.780,0xFFFF,-1
02:48:24:428,0.790,0x0000,0
02:48:24:428,0.800,0xFFFA,-6
02:48:24:428,0.810,0xFFFB,-5
02:48:24:428,0.820,0xFFFA,-6
02:48:24:428,0.830,0xFFFA,-6
02:48:24:428,0.840,0xFFFD,-3
02:48:24:428,0.850,0xFFFA,-6
02:48:24:428,0.860,0xFFFF,-1
02:48:24:428,0.870,0xFFFA,-6
02:48:24:428,0.880,0x0002,2
02:48:24:428,0.890,0xFFFB,-5
02:48:24:428,0.900,0xFFFC,-4
02:48:24:428,0.910,0xFFFB,-5
02:48:24:428,0.920,0xFFFE,-2
02:48:24:428,0.930,0xFFFC,-4
02:48:24:428,0.940,0xFFFD,-3
02:48:24:428,0.950,0xFFFD,-3
02:48:24:428,0.960,0xFFFB,-5
02:48:24:428,0.970,0xFFFD,-3
02:48:24:428,0.980,0xFFFC,-4
02:48:24:428,0.990,0xFFFF,-1
02:48:24:428,1.000,0xFFF8,-8
02:48:24:428,1.010,0x0001,1
02:48:24:428,1.020,0xFFFA,-6
02:48:24:428,1.030,0x0005,5
02:48:24:428,1.040,0x0002,2
02:48:24:428,1.050,0x0000,0
02:48:24:428,1.060,0xFFFB,-5
02:48:24:428,1.070,0x0000,0
02:48:24:428,1.080,0xFFFD,-3
02:48:24:428,1.090,0x0006,6
02:48:24:428,1.100,0xFFFD,-3
02:48:24:428,1.110,0x0000,0
02:48:24:428,1.120,0x0001,1
02:48:24:428,1.130,0x0000,0
02:48:24:428,1.140,0x0001,1
02:48:24:428,1.150,0xFFF9,-7
02:48:24:428,1.160,0xFFFC,-4
02:48:24:428,1.170,0x0001,1
02:48:24:428,1.180,0x0002,2
02:48:24:428,1.190,0x0000,0
02:48:24:428,1.200,0x0000,0
02:48:24:428,1.210,0xFFFE,-2
02:48:24:428,1.220,0xFFFE,-2
02:48:24:428,1.230,0xFFFA,-6
02:48:24:428,1.240,0xFFFC,-4
02:48:24:428,1.250,0xFFFE,-2
02:48:24:428,1.260,0xFFFB,-5
02:48:24:428,1.270,0x0000,0
02:48:34:465,0.010,0xFFFE,-2
02:48:34:465,0.020,0xFFFD,-3
02:48:34:465,0.030,0x0003,3
02:48:34:465,0.040,0xFFFC,-4
02:48:34:465,0.050,0xFFFD,-3
02:48:34:465,0.060,0xFFF9,-7
02:48:34:465,0.070,0x0006,6
02:48:34:465,0.080,0xFFF9,-7
02:48:34:465,0.090,0xFFFC,-4
02:48:34:465,0.100,0xFFFD,-3
02:48:34:465,0.110,0xFFFB,-5
02:48:34:465,0.120,0xFFFA,-6
02:48:34:465,0.130,0xFFFF,-1
02:48:34:465,0.140,0xFFFD,-3
02:48:34:465,0.150,0xFFFC,-4
02:48:34:465,0.160,0x0007,7
02:48:34:465,0.170,0x0000,0
02:48:34:465,0.180,0xFFFF,-1
02:48:34:465,0.190,0xFFFA,-6
02:48:34:465,0.200,0x0003,3
02:48:34:465,0.210,0xFFF9,-7
02:48:34:465,0.220,0xFFFE,-2
02:48:34:465,0.230,0xFFF8,-8
02:48:34:465,0.240,0x0003,3
02:48:34:465,0.250,0xFFFE,-2
02:48:34:465,0.260,0xFFF7,-9
02:48:34:465,0.270,0x0006,6
02:48:34:465,0.280,0xFFFD,-3
02:48:34:465,0.290,0x0000,0
02:48:34:465,0.300,0x0000,0
02:48:34:465,0.310,0x0000,0
02:48:34:465,0.320,0x0001,1
02:48:34:465,0.330,0xFFFE,-2
02:48:34:465,0.340,0x0004,4
02:48:34:465,0.350,0xFFFC,-4
02:48:34:465,0.360,0xFFFC,-4
02:48:34:465,0.370,0xFFFD,-3
02:48:34:465,0.380,0xFFFD,-3
02:48:34:465,0.390,0xFFFD,-3
02:48:34:465,0.400,0xFFFB,-5
02:48:34:465,0.410,0x0004,4
02:48:34:465,0.420,0x0001,1
02:48:34:465,0.430,0xFFFF,-1
02:48:34:465,0.440,0xFFFC,-4
02:48:34:465,0.450,0xFFFF,-1
02:48:34:465,0.460,0xFFFD,-3
02:48:34:465,0.470,0x0000,0
02:48:34:465,0.480,0xFFFF,-1
02:48:34:465,0.490,0xFFFF,-1
02:48:34:465,0.500,0x0002,2
02:48:34:465,0.510,0xFFFD,-3
02:48:34:465,0.520,0xFFF5,-11
02:48:34:465,0.530,0xFFFE,-2
02:48:34:465,0.540,0xFFFF,-1
02:48:34:465,0.550,0x0002,2
02:48:34:465,0.560,0x0001,1
02:48:34:465,0.570,0xFFFA,-6
02:48:34:465,0.580,0x0001,1
02:48:34:465,0.590,0x0001,1
02:48:34:465,0.600,0xFFF8,-8
02:48:34:465,0.610,0x0007,7
02:48:34:465,0.620,0xFFFF,-1
02:48:34:465,0.630,0x0002,2
02:48:34:465,0.640,0xFFFD,-3
02:48:34:465,0.650,0x0000,0
02:48:34:465,0.660,0xFFFB,-5
02:48:34:465,0.670,0xFFFB,-5
02:48:34:465,0.680,0x0004,4
02:48:34:465,0.690,0x0006,6
02:48:34:465,0.700,0x0001,1
02:48:34:465,0.710,0x0003,3
02:48:34:465,0.720,0xFFFB,-5
02:48:34:465,0.730,0x0001,1
02:48:34:465,0.740,0xFFFC,-4
02:48:34:465,0.750,0xFFFB,-5
02:48:34:465,0.760,0x0000,0
02:48:34:465,0.770,0xFFFA,-6
02:48:34:465,0.780,0xFFFC,-4
02:48:34:465,0.790,0x0001,1
02:48:34:465,0.800,0xFFFC,-4
02:48:34:465,0.810,0x0000,0
02:48:34:465,0.820,0xFFFD,-3
02:48:34:465,0.830,0xFFF7,-9
02:48:34:465,0.840,0xFFFA,-6
02:48:34:465,0.850,0xFFFF,-1
02:48:34:465,0.860,0xFFFC,-4
02:48:34:465,0.870,0xFFFA,-6
02:48:34:465,0.880,0x0005,5
02:48:34:465,0.890,0x0003,3
02:48:34:465,0.900,0xFFF7,-9
02:48:34:465,0.910,0xFFFA,-6
02:48:34:465,0.920,0x0004,4
02:48:34:465,0.930,0x0002,2
02:48:34:465,0.940,0x0001,1
02:48:34:465,0.950,0x0002,2
02:48:34:465,0.960,0xFFF9,-7
02:48:34:465,0.970,0xFFFC,-4
02:48:34:465,0.980,0xFFF8,-8
02:48:34:465,0.990,0xFFFD,-3
02:48:34:465,1.000,0xFFFD,-3
02:48:34:465,1.010,0x0000,0
02:48:34:465,1.020,0xFFFA,-6
02:48:34:465,1.030,0xFFFB,-5
02:48:34:465,1.040,0xFFFA,-6
02:48:34:465,1.050,0xFFFE,-2
02:48:34:465,1.060,0xFFFD,-3
02:48:34:465,1.070,0xFFF8,-8
02:48:34:465,1.080,0x0000,0
02:48:34:465,1.090,0xFFFA,-6
02:48:34:465,1.100,0xFFFA,-6
02:48:34:465,1.110,0xFFFD,-3
02:48:34:465,1.120,0xFFF9,-7
02:48:34:465,1.130,0xFFFC,-4
02:48:34:465,1.140,0xFFFC,-4
02:48:34:465,1.150,0xFFFA,-6
02:48:34:465,1.160,0xFFFF,-1
02:48:34:465,1.170,0xFFFE,-2
02:48:34:465,1.180,0xFFF7,-9
02:48:34:465,1.190,0xFFF9,-7
02:48:34:465,1.200,0x0003,3
02:48:34:465,1.210,0x0001,1
02:48:34:465,1.220,0xFFF7,-9
02:48:34:465,1.230,0x0001,1
02:48:34:465,1.240,0x0000,0
02:48:34:465,1.250,0xFFF8,-8
02:48:34:465,1.260,0x0001,1
02:48:34:465,1.270,0xFFFB,-5
02:48:34:465,1.280,0xFFFB,-5
02:48:44:139,0.020,0xFFFD,-3
02:48:44:139,0.030,0xFFFE,-2
02:48:44:139,0.040,0xFFF7,-9
02:48:44:139,0.050,0xFFFB,-5
02:48:44:139,0.060,0xFFFD,-3
02:48:44:139,0.070,0xFFFC,-4
02:48:44:139,0.080,0xFFFD,-3
02:48:44:139,0.090,0xFFFD,-3
02:48:44:139,0.100,0x0002,2
02:48:44:139,0.110,0xFFF9,-7
02:48:44:139,0.120,0xFFFC,-4
02:48:44:139,0.130,0xFFFE,-2
02:48:44:139,0.140,0xFFFB,-5
02:48:44:139,0.150,0x0000,0
02:48:44:139,0.160,0xFFFF,-1
02:48:44:139,0.170,0xFFF8,-8
02:48:44:139,0.180,0xFFFD,-3
02:48:44:139,0.190,0xFFFF,-1
02:48:44:139,0.200,0xFFF4,-12
02:48:44:139,0.210,0xFFFF,-1
02:48:44:139,0.220,0xFFF9,-7
02:48:44:139,0.230,0x0004,4
02:48:44:139,0.240,0xFFFA,-6
02:48:44:139,0.250,0xFFFD,-3
02:48:44:139,0.260,0x0005,5
02:48:44:139,0.270,0xFFF8,-8
02:48:44:139,0.280,0xFFFD,-3
02:48:44:139,0.290,0xFFFC,-4
02:48:44:139,0.300,0x0003,3
02:48:44:139,0.310,0x0000,0
02:48:44:139,0.320,0x0000,0
02:48:44:139,0.330,0xFFF7,-9
02:48:44:139,0.340,0xFFFE,-2
02:48:44:139,0.350,0x0000,0
02:48:44:139,0.360,0xFFFB,-5
02:48:44:139,0.370,0xFFFF,-1
02:48:44:139,0.380,0x0006,6
02:48:44:139,0.390,0xFFFF,-1
02:48:44:139,0.400,0x0006,6
02:48:44:139,0.410,0xFFFC,-4
02:48:44:139,0.420,0x0000,0
02:48:44:139,0.430,0xFFF5,-11
02:48:44:139,0.440,0x0001,1
02:48:44:139,0.450,0x0004,4
02:48:44:139,0.460,0xFFFC,-4
02:48:44:139,0.470,0xFFFD,-3
02:48:44:139,0.480,0xFFFE,-2
02:48:44:139,0.490,0xFFFA,-6
02:48:44:139,0.500,0xFFF8,-8
02:48:44:139,0.510,0xFFFF,-1
02:48:44:139,0.520,0xFFF9,-7
02:48:44:139,0.530,0x0000,0
02:48:44:139,0.540,0xFFFB,-5
02:48:44:139,0.550,0xFFFE,-2
02:48:44:139,0.560,0xFFFF,-1
02:48:44:139,0.570,0xFFFD,-3
02:48:44:139,0.580,0x0005,5
02:48:44:139,0.590,0xFFFD,-3
02:48:44:139,0.600,0xFFF9,-7
02:48:44:139,0.610,0xFFFD,-3
02:48:44:139,0.620,0xFFFA,-6
02:48:44:139,0.630,0xFFF8,-8
02:48:44:139,0.640,0xFFFC,-4
02:48:44:139,0.650,0xFFFF,-1
02:48:44:139,0.660,0x0001,1
02:48:44:139,0.670,0xFFFF,-1
02:48:44:139,0.680,0xFFFC,-4
02:48:44:139,0.690,0xFFFF,-1
02:48:44:139,0.700,0xFFFD,-3
02:48:44:139,0.710,0xFFF9,-7
02:48:44:139,0.720,0x0002,2
02:48:44:139,0.730,0xFFFE,-2
02:48:44:139,0.740,0xFFFD,-3
02:48:44:139,0.750,0xFFFF,-1
02:48:44:139,0.760,0x0006,6
02:48:44:139,0.770,0xFFFC,-4
02:48:44:139,0.780,0x0003,3
02:48:44:139,0.790,0xFFFA,-6
02:48:44:139,0.800,0xFFFE,-2
02:48:44:139,0.810,0x0000,0
02:48:44:139,0.820,0x0004,4
02:48:44:139,0.830,0xFFF9,-7
02:48:44:139,0.840,0xFFFE,-2
02:48:44:139,0.850,0xFFF8,-8
02:48:44:139,0.860,0xFFF8,-8
02:48:44:139,0.870,0xFFF5,-11
02:48:44:139,0.880,0xFFFD,-3
02:48:44:139,0.890,0xFFFF,-1
02:48:44:139,0.900,0xFFFE,-2
02:48:44:139,0.910,0xFFFB,-5
02:48:44:139,0.920,0x0001,1
02:48:44:139,0.930,0xFFFB,-5
02:48:44:139,0.940,0x0005,5
02:48:44:139,0.950,0x0003,3
02:48:44:139,0.960,0xFFF8,-8
02:48:44:139,0.970,0x0000,0
02:48:44:139,0.980,0xFFFF,-1
02:48:44:139,0.990,0xFFFD,-3
02:48:44:139,1.000,0xFFFA,-6
02:48:44:139,1.010,0xFFFF,-1
02:48:44:139,1.020,0x0001,1
02:48:44:139,1.030,0x0002,2
02:48:44:139,1.040,0xFFFF,-1
02:48:44:139,1.050,0xFFFC,-4
02:48:44:139,1.060,0xFFFD,-3
02:48:44:139,1.070,0xFFFD,-3
02:48:44:139,1.080,0xFFFB,-5
02:48:44:139,1.090,0xFFFA,-6
02:48:44:139,1.100,0x0004,4
02:48:44:139,1.110,0xFFF4,-12
02:48:44:139,1.120,0xFFFE,-2
02:48:44:139,1.130,0xFFF8,-8
02:48:44:139,1.140,0xFFFF,-1
02:48:44:139,1.150,0x0002,2
02:48:44:139,1.160,0xFFFC,-4
02:48:44:139,1.170,0xFFF7,-9
02:48:44:139,1.180,0xFFF9,-7
02:48:44:139,1.190,0xFFFC,-4
02:48:44:139,1.200,0xFFF9,-7
02:48:44:139,1.210,0x0004,4
02:48:44:139,1.220,0xFFFF,-1
02:48:44:139,1.230,0x0000,0
02:48:44:139,1.240,0xFFFE,-2
02:48:44:139,1.250,0xFFF9,-7
02:48:44:139,1.260,0xFFFC,-4
02:48:44:139,1.270,0xFFFD,-3
02:48:44:139,1.280,0xFFFF,-1
02:48:44:139,1.290,0xFFFB,-5
02:48:56:032,0.030,0x0002,2
02:48:56:032,0.040,0xFFFD,-3
02:48:56:032,0.050,0xFFFF,-1
02:48:56:032,0.060,0xFFF9,-7
02:48:56:032,0.070,0xFFFB,-5
02:48:56:032,0.080,0x0001,1
02:48:56:032,0.090,0xFFFC,-4
02:48:56:032,0.100,0xFFFC,-4
02:48:56:032,0.110,0xFFF9,-7
02:48:56:032,0.120,0xFFFB,-5
02:48:56:032,0.130,0xFFFA,-6
02:48:56:032,0.140,0xFFFD,-3
02:48:56:032,0.150,0xFFFA,-6
02:48:56:032,0.160,0xFFFE,-2
02:48:56:032,0.170,0xFFFA,-6
02:48:56:032,0.180,0xFFF8,-8
02:48:56:032,0.190,0xFFFD,-3
02:48:56:032,0.200,0xFFFE,-2
02:48:56:032,0.210,0x0005,5
02:48:56:032,0.220,0x0005,5
02:48:56:032,0.230,0xFFFF,-1
02:48:56:032,0.240,0x0002,2
02:48:56:032,0.250,0xFFFB,-5
02:48:56:032,0.260,0xFFFD,-3
02:48:56:032,0.270,0xFFFC,-4
02:48:56:032,0.280,0xFFFF,-1
02:48:56:032,0.290,0xFFF5,-11
02:48:56:032,0.300,0x0000,0
02:48:56:032,0.310,0xFFFB,-5
02:48:56:032,0.320,0xFFF9,-7
02:48:56:032,0.330,0xFFFC,-4
02:48:56:032,0.340,0xFFFE,-2
02:48:56:032,0.350,0xFFFE,-2
02:48:56:032,0.360,0xFFFD,-3
02:48:56:032,0.370,0xFFFE,-2
02:48:56:032,0.380,0x0003,3
02:48:56:032,0.390,0xFFFD,-3
02:48:56:032,0.400,0xFFFA,-6
02:48:56:032,0.410,0x0002,2
02:48:56:032,0.420,0xFFFC,-4
02:48:56:032,0.430,0xFFF9,-7
02:48:56:032,0.440,0xFFFD,-3
02:48:56:032,0.450,0xFFFF,-1
02:48:56:032,0.460,0xFFFA,-6
02:48:56:032,0.470,0xFFFB,-5
02:48:56:032,0.480,0xFFFF,-1
02:48:56:032,0.490,0xFFFB,-5
02:48:56:032,0.500,0xFFFB,-5
02:48:56:032,0.510,0xFFFD,-3
02:48:56:032,0.520,0xFFFA,-6
02:48:56:032,0.530,0x0006,6
02:48:56:032,0.540,0xFFF7,-9
02:48:56:032,0.550,0xFFFD,-3
02:48:56:032,0.560,0xFFFB,-5
02:48:56:032,0.570,0x0001,1
02:48:56:032,0.580,0xFFFF,-1
02:48:56:032,0.590,0xFFFE,-2
02:48:56:032,0.600,0xFFFD,-3
02:48:56:032,0.610,0xFFFB,-5
02:48:56:032,0.620,0x0000,0
02:48:56:032,0.630,0xFFFD,-3
02:48:56:032,0.640,0x0000,0
02:48:56:032,0.650,0xFFFC,-4
02:48:56:032,0.660,0xFFFD,-3
02:48:56:032,0.670,0x0004,4
02:48:56:032,0.680,0xFFFD,-3
02:48:56:032,0.690,0x0007,7
02:48:56:032,0.700,0x0002,2
02:48:56:032,0.710,0xFFFD,-3
02:48:56:032,0.720,0x0000,0
02:48:56:032,0.730,0xFFFD,-3
02:48:56:032,0.740,0x0000,0
02:48:56:032,0.750,0xFFFB,-5
02:48:56:032,0.760,0x0003,3
02:48:56:032,0.770,0x0000,0
02:48:56:032,0.780,0xFFF4,-12
02:48:56:032,0.790,0xFFFF,-1
02:48:56:032,0.800,0x0000,0
02:48:56:032,0.810,0xFFFE,-2
02:48:56:032,0.820,0x0002,2
02:48:56:032,0.830,0xFFFE,-2
02:48:56:032,0.840,0xFFF9,-7
02:48:56:032,0.850,0xFFFE,-2
02:48:56:032,0.860,0xFFFD,-3
02:48:56:032,0.870,0xFFFD,-3
02:48:56:032,0.880,0x0000,0
02:48:56:032,0.890,0x0005,5
02:48:56:032,0.900,0xFFFD,-3
02:48:56:032,0.910,0xFFF8,-8
02:48:56:032,0.920,0xFFFF,-1
02:48:56:032,0.930,0xFFFE,-2
02:48:56:032,0.940,0xFFFA,-6
02:48:56:032,0.950,0xFFFA,-6
02:48:56:032,0.960,0xFFFD,-3
02:48:56:032,0.970,0xFFFE,-2
02:48:56:032,0.980,0xFFFA,-6
02:48:56:032,0.990,0x0003,3
02:48:56:032,1.000,0xFFF8,-8
02:48:56:032,1.010,0xFFFB,-5
02:48:56:032,1.020,0xFFFB,-5
02:48:56:032,1.030,0xFFFC,-4
02:48:56:032,1.040,0xFFF7,-9
02:48:56:032,1.050,0xFFF9,-7
02:48:56:032,1.060,0x0001,1
02:48:56:032,1.070,0xFFFD,-3
02:48:56:032,1.080,0xFFFC,-4
02:48:56:032,1.090,0xFFF9,-7
02:48:56:032,1.100,0xFFFB,-5
02:48:56:032,1.110,0xFFFF,-1
02:48:56:032,1.120,0xFFFF,-1
02:48:56:032,1.130,0x0002,2
02:48:56:032,1.140,0xFFFB,-5
02:48:56:032,1.150,0x0001,1
02:48:56:032,1.160,0xFFFB,-5
02:48:56:032,1.170,0xFFFE,-2
02:48:56:032,1.180,0xFFFB,-5
02:48:56:032,1.190,0xFFF9,-7
02:48:56:032,1.200,0xFFFB,-5
02:48:56:032,1.210,0xFFFD,-3
02:48:56:032,1.220,0x0001,1
02:48:56:032,1.230,0xFFFC,-4
02:48:56:032,1.240,0xFFFF,-1
02:48:56:032,1.250,0xFFFD,-3
02:48:56:032,1.260,0xFFFD,-3
02:48:56:032,1.270,0x0002,2
02:48:56:032,1.280,0xFFF7,-9
02:48:56:032,1.290,0xFFFD,-3
02:48:56:032,1.300,0xFFF5,-11
02:49:10:255,0.040,0xFFFA,-6
02:49:10:255,0.050,0xFFFC,-4
02:49:10:255,0.060,0xFFFE,-2
02:49:10:255,0.070,0xFFFD,-3
02:49:10:255,0.080,0x0000,0
02:49:10:255,0.090,0xFFFE,-2
02:49:10:255,0.100,0x0000,0
02:49:10:255,0.110,0xFFFB,-5
02:49:10:255,0.120,0xFFFB,-5
02:49:10:255,0.130,0xFFF9,-7
02:49:10:255,0.140,0xFFF7,-9
02:49:10:255,0.150,0x0000,0
02:49:10:255,0.160,0xFFFA,-6
02:49:10:255,0.170,0xFFFD,-3
02:49:10:255,0.180,0xFFFE,-2
02:49:10:255,0.190,0xFFFB,-5
02:49:10:255,0.200,0x0002,2
02:49:10:255,0.210,0x000A,10
02:49:10:255,0.220,0xFFFE,-2
02:49:10:255,0.230,0xFFFB,-5
02:49:10:255,0.240,0xFFFF,-1
